new_id,source_id
0,937
1,984
2,2126
3,3924
4,4231
5,5048
6,5933
7,6078
8,6490
9,6727
10,7759
11,7976
12,8582
13,8643
14,8894
15,9819
16,9885
17,9918
18,10302
19,10987
20,11082
21,11110
22,11156
23,11243
24,11560
25,11813
26,11864
27,11993
28,12579
29,12783
30,14030
31,14435
32,15016
33,15060
34,15122
35,15644
36,15650
37,16620
38,16864
39,17066
40,17185
41,17351
42,17643
43,17828
44,17906
45,17969
46,17970
47,18023
48,18067
49,18082
50,18121
51,18312
52,18977
53,18985
54,19117
55,19125
56,19188
57,19303
58,19331
59,19430
60,20059
61,20117
62,20138
63,20191
64,20194
65,20229
66,20310
67,20392
68,20493
69,20550
70,20615
71,20620
72,20695
73,20849
74,20898
75,20994
76,21066
77,21185
78,21279
79,21555
80,21717
81,21792
82,22237
83,22430
84,22519
85,22946
86,23052
87,23653
88,23823
89,24125
90,24716
91,24760
92,25077
93,25374
94,25546
95,26053
96,26765
97,26896
98,27135
99,27453
100,27772
101,27815
102,27985
103,28327
104,28344
105,28402
106,28409
107,28715
108,28747
109,28748
110,28778
111,28818
112,28939
113,29227
114,29250
115,29254
116,29378
117,29396
118,29497
119,29582
120,29673
121,29932
122,30029
123,30030
124,30142
125,30147
126,30150
127,30166
128,30361
129,30369
130,30386
131,30387
132,30406
133,30428
134,30505
135,30524
136,30583
137,30683
138,30685
139,30716
140,30817
141,30991
142,31512
143,32146
144,32593
145,32638
146,32727
147,33270
148,33296
149,33480
150,33494
151,33630
152,33781
153,34128
154,34206
155,34226
156,34364
157,34707
158,34872
159,34919
160,35127
161,35239
162,35242
163,35505
164,35512
165,35525
166,35599
167,35836
168,36116
169,36481
170,36539
171,36575
172,36890
173,37141
174,37221
175,37304
176,37556
177,37630
178,37723
179,37767
180,37924
181,38132
182,38154
183,39869
184,40084
185,40493
186,40509
187,41137
188,41443
189,42263
190,42430
191,42494
192,42855
193,43000
194,45280
195,45470
196,45594
197,45692
198,47081
199,48275
200,48997
201,49244
202,49473
203,49619
204,49859
205,50393
206,50649
207,50802
208,50808
209,50953
210,50980
211,51295
212,51667
213,51704
214,51728
215,51933
216,52585
217,52601
218,53147
219,53272
220,53282
221,53341
222,53348
223,53356
224,53361
225,53382
226,53474
227,53563
228,53988
229,54088
230,54260
231,54278
232,54284
233,54320
234,54524
235,54659
236,54787
237,54791
238,54812
239,54907
240,54936
241,54974
242,55344
243,55363
244,55404
245,55406
246,55457
247,55466
248,55472
249,55476
250,55489
251,55557
252,55563
253,55571
254,55624
255,55626
256,55663
257,55689
258,55838
259,55966
260,56043
261,56066
262,56078
263,56225
264,56254
265,56390
266,56541
267,56548
268,56558
269,56560
270,56600
271,56624
272,56711
273,57137
274,57144
275,57149
276,57213
277,57418
278,57518
279,57539
280,57574
281,57665
282,57763
283,58207
284,58252
285,58323
286,58361
287,59036
288,59153
289,59320
290,59351
291,59456
292,59600
293,59663
294,59872
295,59888
296,59901
297,59914
298,59961
299,60348
300,60422
301,60502
302,60594
303,60763
304,60779
305,60862
306,61195
307,61480
308,61484
309,61539
310,61820
311,61940
312,62057
313,62091
314,62161
315,62216
316,62338
317,62532
318,62668
319,62835
320,62883
321,62914
322,62929
323,62934
324,63011
325,63049
326,63121
327,63124
328,63178
329,63245
330,63389
331,63473
332,63500
333,63574
334,63592
335,63601
336,63606
337,63613
338,63620
339,63624
340,63660
341,63697
342,63732
343,63813
344,63842
345,63912
346,63937
347,63943
348,63983
349,64107
350,64144
351,64157
352,64166
353,64195
354,64231
355,64261
356,64267
357,64627
358,64652
359,64677
360,64702
361,64802
362,65031
363,65037
364,65333
365,65343
366,65411
367,65562
368,65565
369,65630
370,65725
371,65779
372,65827
373,65967
374,66045
375,66321
376,66387
377,66503
378,66660
379,66681
380,66711
381,66762
382,66777
383,66823
384,66883
385,66973
386,67043
387,67079
388,67099
389,67114
390,67197
391,67211
392,67244
393,67367
394,67608
395,67610
396,67613
397,68338
398,68355
399,68413
400,68430
401,68512
402,68538
403,68586
404,68647
405,68841
406,68881
407,68890
408,68924
409,69067
410,69183
411,69321
412,69463
413,69501
414,69578
415,69751
416,69890
417,70315
418,70405
419,70425
420,70455
421,70647
422,70685
423,71351
424,71379
425,71621
426,71768
427,71856
428,72298
429,72584
430,72647
431,72714
432,72857
433,73044
434,73106
435,73427
436,73584
437,73623
